id,name,dataTypeName,fieldName,position,renderTypeName,tableColumnId,width,cachedContents/non_null,cachedContents/smallest,cachedContents/null,cachedContents/largest,cachedContents/top/0/count,cachedContents/top/0/item,cachedContents/top/1/count,cachedContents/top/1/item,cachedContents/top/2/count,cachedContents/top/2/item,cachedContents/top/3/count,cachedContents/top/3/item,cachedContents/top/4/count,cachedContents/top/4/item,cachedContents/top/5/count,cachedContents/top/5/item,cachedContents/top/6/count,cachedContents/top/6/item,cachedContents/top/7/count,cachedContents/top/7/item,cachedContents/top/8/count,cachedContents/top/8/item,cachedContents/top/9/count,cachedContents/top/9/item,cachedContents/top/10/count,cachedContents/top/10/item,cachedContents/top/11/count,cachedContents/top/11/item,cachedContents/top/12/count,cachedContents/top/12/item,cachedContents/top/13/count,cachedContents/top/13/item,cachedContents/top/14/count,cachedContents/top/14/item,cachedContents/top/15/count,cachedContents/top/15/item,cachedContents/top/16/count,cachedContents/top/16/item,cachedContents/top/17/count,cachedContents/top/17/item,cachedContents/top/18/count,cachedContents/top/18/item,cachedContents/top/19/count,cachedContents/top/19/item,format/align,cachedContents/sum,cachedContents/average,format/precisionStyle,format/noCommas,cachedContents/smallest/longitude,cachedContents/smallest/latitude,cachedContents/smallest/human_address,cachedContents/largest/longitude,cachedContents/largest/latitude,cachedContents/largest/human_address,cachedContents/top/0/item/longitude,cachedContents/top/0/item/latitude,cachedContents/top/0/item/human_address,cachedContents/top/1/item/longitude,cachedContents/top/1/item/latitude,cachedContents/top/1/item/human_address,cachedContents/top/2/item/longitude,cachedContents/top/2/item/latitude,cachedContents/top/2/item/human_address,cachedContents/top/3/item/longitude,cachedContents/top/3/item/latitude,cachedContents/top/3/item/human_address,subColumnTypes/0,subColumnTypes/1,subColumnTypes/2,subColumnTypes/3,subColumnTypes/4
180118911,issue_type,text,issue_type,3,text,22400368,220,127391,Abandoned Vehicle Reporting/Removal,0,Tree Service Emergency,20,Street Flooding/Drainage,19,Code Enforcement General Request,18,Pothole/Roadway Surface Repair,17,Street Light,16,Residential Recycling Programs,15,Subsidence,14,Lost and Found,13,Traffic Sign,12,Road Surface Marking,11,Mosquito Control,10,Tree Maintenance,9,Trash/Garbage Pickup,8,Tree Service,7,Abandoned Vehicle Reporting/Removal,6,Illegal Dumping Reporting,5,Sidewalk Repair,4,Traffic Signal,3,Large Item Trash/Garbage Pickup,2,Rodent Complaint,1,Manhole Cover Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195215442,ticket_created_date_time,calendar_date,ticket_created_date_time,4,calendar_date,22400369,228,127391,2012-03-12T09:46:20,0,2015-07-06T16:58:14,20,2015-07-06T10:55:00,19,2015-07-06T11:14:05,18,2015-07-06T16:32:15,17,2015-07-02T11:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,,,,,,,,,,,,,,,,,,,,,,,,,,,
195216856,ticket_closed_date_time,calendar_date,ticket_closed_date_time,5,calendar_date,22400370,230,109670,2012-03-12T11:09:26,17721,2015-07-06T17:25:50,20,2012-10-05T14:47:44,19,2015-07-06T16:34:41,18,2015-07-06T15:22:40,17,2015-07-06T11:36:09,16,2015-07-06T15:53:41,15,2015-07-06T12:48:46,14,2015-07-06T12:12:54,13,2015-07-06T09:58:57,12,2015-07-06T12:07:55,11,2015-07-06T12:12:42,10,2015-07-06T10:05:05,9,2015-07-06T12:12:02,8,2015-07-06T11:37:50,7,2015-07-06T12:08:42,6,2015-07-06T10:06:26,5,2015-07-06T10:57:10,4,2015-07-06T15:03:45,3,2015-07-06T11:59:05,2,2015-07-06T14:04:34,1,2015-07-06T10:41:17,left,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118914,ticket_status,text,ticket_status,6,text,22400371,159,127391,Closed,0,Open,20,Open,19,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118915,issue_description,text,issue_description,7,text,22400372,180,121842,/Description of item: Tree branches and about 8 bags of vegitation left from the recent storm.9/12/2012 - Caller is checking the status of the debris pick up at this location.,5549,Wrecked  vehicle - IN STREET,20,Nature of request: New Recycling Cart,19,Issue: Outage Or Cycling | Pole number: 0,18,| High Weeds: Yes,17,Street area affected: Travel Lane / Roadway | Running water: No | Standing Water: No | Rocks: No | Utility company working at the location: No | Other details: Caller stated there are potholes up and down this street the cross street is Cherry,16,"Color: Purple | Make: Buick | License plate (state): MI - Michigan | License plate: BXV7178 | Cross Street: BANKS | Other details: CAR HAS BEEN PARKED ABOUT A MONTH, MAROON IN COLOR. ON THE BANNKS STREET SIDE OF THIS ADDRESS, NEAR THE DRIVEWAY OF THIS ADDRESS",15,Issue: Outage Or Cycling | Pole number: HH51 | Other details: light is  totally out,14,| Unoccupied: Yes | Trash/Debris: Yes | High Weeds: Yes,13,Location Description: Grass is high near the citrus canal at Poitevent Avenue and Morrison Road | High Grass: Yes,12,Type of Property: Multi-Plex | Property Is: Residential | Cross Street: Ideal Pl. | Does the caller live at property: No | Rent or Own Property: Own | Is There A Pest Control Contract: Yes | Does lease state who is responsible: Yes | Do you currently have a pest control contact: Yes | Name of the Pest Control Company: Excel Pest Control | Do we have your permission to inspect your yard: Yes | Should burrows be treated: No | Do you have a dog in the yard: No | Do you have a dog in the yard: No | Are you currently applying rodenticides inside the porperty or in the yard: Yes | Pest-proofing: Yes | Other details: Problem coming from an overpass across the street from the house that people dump trash at. Caller states that they have been putting glue strips down and poison. Thank you.,11,| Unoccupied: Yes | Commercial: Yes | Trash/Debris: Yes | High Weeds: Yes,10,Request for: Damaged Sign | Type of sign: Stop | Other details: Caller has stated that the pole and sign is at the interesection.,9,Color: Pink | Make: Trailer | Model: food truck  | License plate (state): N/A | License plate: n/a | Cross Street: st ann / n dupre | NOPD QoL officer: No | Other details: flat tires,8,| Trash/Debris: Yes | High Weeds: Yes | Other conditions: Care and Trailers all on the lot.,7,Issue: Missed Collection | Time trash/recycling put out: 06:00 | Other details: Caller stated the cart has not been picked up. He stated there has not been any change in what he puts in the cart.,6,"Tires: No | Ch 66: No | Details of items dumped: Caller has stated that the items are filling, gravel, mud, and clam shells. | Who dumped the refuse: N/A | Other details: Caller has stated that the items are located on Ransom St. between Virgilian St. and Majestic Oaks Dr.  Caller has stated that the street has been made impassable.",5,| High Weeds: Yes | Other conditions: Caller sttated the location is really 735 Flood St  which is between 5500 Dauphine and 727 Flood (only used this address because the actual address would *not* come up in the system which is 735 Flood ST. The actual address is 735 Flood St. (overgrown lot),4,Issue: Outage Or Cycling | Pole number: 0 | Other details: Light is out.,3,Issue: Outage Or Cycling | Pole number: MW83 | Other details: Caller states that the street light is out and caller also states that the light fixture is hanging as well.,2,| Type of Tree: OAK | Blocking Driveway: Yes | Other Details: This is Boyd Funeral HomeLarge treee branch is blocking the driveway at this location on the Congress Street side of the Funeral Home which is at Chef Menteur and Congress.,1,Issue: Outage Or Cycling | Pole number: PG62 | Other details: light is out at this location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118916,street_address,text,street_address,8,text,22400373,165,127391,10000 GENTILLY RD,0,ZION ST & KENT DR,20,9 POINT COUPEE PL,19,1520 N DERBIGNY ST,18,S MURAT ST & DHEMECOURT ST,17,2351 MAGAZINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118917,neighborhood_district,text,neighborhood_district,9,text,22400374,202,127349,ALGIERS POINT,42,WHITNEY,20,LEONIDAS,19,MID-CITY,18,LAKEVIEW,17,LITTLE WOODS,16,LOWER NINTH WARD,15,ST. ROCH,14,ST. CLAUDE,13,AUDUBON,12,CENTRAL CITY,11,SEVENTH WARD,10,CENTRAL BUSINESS DISTRICT,9,OLD AURORA,8,GENTILLY TERRACE,7,FILLMORE,6,MARLYVILLE - FONTAINBLEAU,5,BROADMOOR,4,MILAN,3,HOLY CROSS,2,ST.  ANTHONY,1,EAST CARROLLTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118918,city,text,city,10,text,22400375,114,127391,NEW ORLEANS,0,NEW ORLEANS,20,NEW ORLEANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118919,state,text,state,11,text,22400376,106,127391,LA,0,LA,20,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118920,zip_code,number,zip_code,12,number,22400377,140,127378,70001,13,70163,20,70118,19,70127,18,70119,17,70131,16,70114,15,70125,14,70124,13,70122,12,70116,11,70126,10,70115,9,70130,8,70117,7,70129,6,70113,5,70112,4,70128,3,70163,2,70005,1,70139,right,8931866512,70120.95112185778,standard,true,,,,,,,,,,,,,,,,,,,,,,,
180118921,image,text,image,13,text,22400378,126,0,,127391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180118922,location,location,location,14,location,22400379,196,127391,,0,,20,,19,,18,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.131063171276,29.9494218379104,"{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}",-90.131063171276,29.9494218379104,"{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}",-89.9278945393438,30.0447232328895,"{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}",-90.0674994419115,29.9720089181197,"{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}",-90.1088698695921,29.9732114474377,"{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}",-90.0788949458216,29.9283861516985,"{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}",human_address,latitude,longitude,machine_address,needs_recoding
180118923,geom,location,geom,15,location,22400380,117,0,,127391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human_address,latitude,longitude,machine_address,needs_recoding
